商品名,メーカー,ASIN,Amazon JP URL,Amazon JP価格(円),Amazon JPレビュー数,評価,日本製,推奨SG販売価格(SGD),Shopee SG競合状況,Amazon SG参考価格(SGD),推奨英語タイトル,推奨キーワード,優先度,備考
ENSEN 白檀お香 天然香料100% 約60本入,ENSEN,B0B53HN6T4,https://www.amazon.co.jp/dp/B0B53HN6T4,999,—,—,○,15-20,0件（ブルーオーシャン）,—,"[Japan Made] ENSEN Premium Sandalwood Incense Sticks 60pcs - 100% Natural Fragrance","japanese incense, sandalwood incense, meditation incense, zen incense",A,Shopee SG競合ゼロ。SGは仏教文化圏で香需要あり。軽量で送料安い
Hoalo 白檀100% お香 日本製 約100本,Hoalo,B0G8YGPLKB,https://www.amazon.co.jp/dp/B0G8YGPLKB,2400,—,—,○,28-35,0件（ブルーオーシャン）,—,"[Japan Made] Hoalo Premium Sandalwood 100% Incense Sticks ~100pcs - Pure Japanese Incense","hoalo incense, japanese sandalwood, premium incense sticks, pure sandalwood",A,100本入りで高品質訴求。白檀100%はプレミアム感あり
天香白檀「馨」 100本 天然香料100% 日本製,天香,B0G71J3Y9X,https://www.amazon.co.jp/dp/B0G71J3Y9X,990,—,—,○,15-20,0件（ブルーオーシャン）,—,"[Japan Made] Tenkou Sandalwood Kaori Incense 100pcs - Natural Temple Fragrance","temple incense japan, sandalwood sticks, japanese fragrance, zen meditation",A,¥990で100本。利益率非常に高い。お寺の香りで差別化
ENSEN 金木犀お香 煙の少ない 約60本入,ENSEN,B0BX2C4WYX,https://www.amazon.co.jp/dp/B0BX2C4WYX,1349,—,—,○,18-24,0件（ブルーオーシャン）,—,"[Japan Made] ENSEN Osmanthus Kinmokusei Incense Sticks 60pcs - Low Smoke Japanese Incense","osmanthus incense, kinmokusei, low smoke incense, japanese floral incense",A,金木犀は海外で人気急上昇の香り。低煙タイプでSGのコンド向き
白檀お香 5種類詰め合わせ 日本製,—,B0G48H65X5,https://www.amazon.co.jp/dp/B0G48H65X5,1380,—,—,○,18-24,0件（ブルーオーシャン）,—,"[Japan Made] Japanese Sandalwood Incense Sampler Set - 5 Varieties Assortment Gift Pack","incense sampler, japanese incense gift, sandalwood variety pack, incense set",A,5種お試しセットでギフト需要も狙える。和紙包みでプレミアム感
匠の技 最高級 煤竹耳かき 2本組,グリーンベル,B00XOTKEU0,https://www.amazon.co.jp/dp/B00XOTKEU0,380,—,—,○,8-12,0件（ブルーオーシャン）,—,"[Japan Made] Green Bell Takumi No Waza Premium Smoked Bamboo Ear Pick Set of 2","japanese ear pick, bamboo ear cleaner, takumi ear pick, mimikaki japan",A,¥380で仕入れてSGD8-12で販売。利益率極めて高い。軽量
匠の技 チタン製ツーウェイ耳かき G-2300,グリーンベル,B095JV5JWD,https://www.amazon.co.jp/dp/B095JV5JWD,1369,—,—,○,18-24,0件（ブルーオーシャン）,—,"[Japan Made] Green Bell Takumi Titanium Two-Way Ear Pick G-2300 Black","titanium ear pick, green bell ear cleaner, takumi ear pick premium, mimikaki",A,チタン製で高級感。Shopee SGで既にGreen Bell耳かきが$8-19で売れている実績あり
グリーンベル チタン製 耳かき G-2296,グリーンベル,B0DZ61Q48W,https://www.amazon.co.jp/dp/B0DZ61Q48W,823,—,—,○,12-16,0件（ブルーオーシャン）,—,"[Japan Made] Green Bell Titanium Ear Pick G-2296 Black - Professional Ear Cleaning Tool","green bell ear pick, titanium mimikaki, japanese ear cleaning, ear wax remover",A,G-2300より安い入門モデル。チタン製で錆びない
匠の技 最高級天然煤竹耳かき G-2153 2本組×2,グリーンベル,B07DLKCM86,https://www.amazon.co.jp/dp/B07DLKCM86,697,—,—,○,12-16,0件（ブルーオーシャン）,—,"[Japan Made] Green Bell Takumi Smoked Bamboo Ear Pick G-2153 Set of 4 (2x2)","bamboo ear pick set, japanese ear cleaner, smoked bamboo mimikaki, takumi",A,4本入りでバリュー訴求。ギフトにも最適
貝印 昇天! 快感耳かき,貝印(KAI),B086M8855S,https://www.amazon.co.jp/dp/B086M8855S,359,—,—,○,8-12,0件（ブルーオーシャン）,—,"[Japan Made] KAI Shoten! Ultimate Pleasure Ear Pick - Premium Japanese Mimikaki","kai ear pick, japanese ear cleaner, pleasure ear pick, mimikaki kai",A,KAIブランドの信頼性。ユニークな商品名でSNS映えも
匠の技 ステンレス製鼻毛はさみ G-2113,グリーンベル,B01LRDG9S0,https://www.amazon.co.jp/dp/B01LRDG9S0,923,—,—,○,14-18,0件（ブルーオーシャン）,—,"[Japan Made] Green Bell Takumi Stainless Steel Nose Hair Scissors G-2113","nose hair scissors japan, green bell grooming, takumi nose trimmer, nostril scissors",A,Shopee SGで鼻毛はさみ0件。グルーミング需要は確実にある
NIKKEN 鼻毛カッター 日本製 10本入,NIKKEN,B0GLQ6VBWJ,https://www.amazon.co.jp/dp/B0GLQ6VBWJ,800,—,—,○,12-16,0件（ブルーオーシャン）,—,"[Japan Made] NIKKEN Nose Hair Cutter 10pcs - Disposable Nose Hair Trimmer Made in Japan","nose hair cutter, disposable nose trimmer, nikken japan, travel grooming",B,10本入り個包装で衛生的。旅行・出張需要
SUWAプレミアム 鼻毛カッター 日本製,SUWAプレミアム,B0DMK4NBLC,https://www.amazon.co.jp/dp/B0DMK4NBLC,2420,—,—,○,28-35,0件（ブルーオーシャン）,—,"[Japan Made] SUWA Premium Nose Hair Cutter - Portable Etiquette Grooming Tool","suwa nose cutter, premium nose trimmer japan, portable grooming, etiquette tool",B,高級路線。SUWAブランドは諏訪田の系列で信頼性高い
グリーンベル ステンレス製角質削り NC-308,グリーンベル,B0DN1GBKDG,https://www.amazon.co.jp/dp/B0DN1GBKDG,1491,—,—,○,18-24,0件（ブルーオーシャン）,—,"[Japan Made] Green Bell Stainless Steel Heel Callus Remover NC-308 - Professional Foot Care","heel callus remover, foot care japan, green bell foot file, dead skin remover",A,SGで日本製フットケア0件。熱帯SGは素足機会多くかかとケア需要あり
アーネスト 匠ケア かかと撫子 日本製 A-76346,アーネスト,B00LWXM0RK,https://www.amazon.co.jp/dp/B00LWXM0RK,2365,—,—,○,28-35,0件（ブルーオーシャン）,—,"[Japan Made] Arnest Takumi Care Kakato Nadeshiko Heel File A-76346 - Gentle Foot Smoother","japanese heel file, kakato nadeshiko, foot smoother, gentle callus remover japan",A,大手飲食店愛用ブランド。プロ仕様訴求
ステンレス製足のツメ垢取り&ヤスリ PSG-021,グリーンベル,B008MUCEWC,https://www.amazon.co.jp/dp/B008MUCEWC,733,—,—,○,12-16,0件（ブルーオーシャン）,—,"[Japan Made] Green Bell Stainless Toenail Cleaner & File PSG-021 - Foot Hygiene Tool","toenail cleaner, foot file japan, nail groove cleaner, foot hygiene tool",B,爪垢取り+ヤスリの2in1。ニッチだが確実な需要
山本竹細工屋 茶筅 白竹 数穂 日本製,山本竹細工屋,B0FD46K8C1,https://www.amazon.co.jp/dp/B0FD46K8C1,2990,—,—,○,35-42,60件（中競合・$22-57）,—,"[Japan Made] Yamamoto Bamboo Craft Matcha Whisk Chasen - Authentic Japanese Tea Ceremony Tool","matcha whisk japan, chasen bamboo, tea ceremony whisk, authentic matcha tool",B,本物の日本製茶筅。SGの抹茶ブーム+中国製安物との差別化
水天堂 樹脂製茶せん 百本立 日本製,水天堂,B0GN8XGK4Z,https://www.amazon.co.jp/dp/B0GN8XGK4Z,2970,—,—,○,35-42,60件（中競合）,—,"[Japan Made] Suitendo Resin Matcha Whisk 100-Prong - Durable Japanese Chasen Alternative","resin matcha whisk, durable chasen, dishwasher safe whisk, modern matcha tool",B,樹脂製で折れない。洗いやすく初心者向け。SGの実用重視層に
若狭塗箸 銀舞桜 夫婦箸セット 箸置き付き,若狭塗,B09RZNP4X6,https://www.amazon.co.jp/dp/B09RZNP4X6,2500,—,—,○,30-38,60件（中競合・$10-12が主流）,—,"[Japan Made] Wakasa Lacquer Chopsticks Silver Sakura Pair Set with Rests - Gift Box","wakasa chopsticks, japanese lacquer chopsticks, sakura chopsticks gift, couple chopsticks",B,桜デザイン+箸置き付き。ギフトボックス入りで贈答需要。$10帯の一般品と差別化
若狭塗箸 絃(いと) 夫婦箸 ギフト箱入り,若狭塗,B0BHKV3YHD,https://www.amazon.co.jp/dp/B0BHKV3YHD,2210,—,—,○,28-35,60件（中競合）,—,"[Japan Made] Wakasa Nuri Chopsticks Ito Pair Set - Antibacterial Gift Box Japanese Chopsticks","wakasa nuri chopsticks, antibacterial chopsticks japan, ito chopsticks gift, couple set",B,抗菌食洗機対応で実用性も。黒箱ギフト包装済み
Pilot コクーン万年筆 中字 ブラック FCO3SRBM,パイロット,B00TPI5EP4,https://www.amazon.co.jp/dp/B00TPI5EP4,2963,—,—,○,35-42,60件（中競合・$33-234）,—,"[Japan Made] PILOT Cocoon Fountain Pen Medium Nib Black FCO3SRBM - Elegant Writing Instrument","pilot cocoon fountain pen, japanese fountain pen, pilot pen japan, cocoon black",B,Shopee SGでPilot万年筆は売れている（270sold実績）。コクーンは$33帯で差別化可能
